,,0,1,2,3,4,5,6
number_of_posts,min,0.0,0.0,0.0,0.0,0.0262008733624454,0.0,0.0
number_of_posts,mean,0.00107406873646383,0.002099086238499,0.102669437382794,0.0168335606753921,0.104890803236812,0.031706213894462,0.0197248216743022
number_of_posts,median,0.0,0.0,0.0873362445414847,0.00436681222707424,0.091703056768559,0.0218340611353712,0.0131004366812227
number_of_posts,q3,0.0,0.0,0.126637554585153,0.0262008733624454,0.122270742358079,0.0436681222707424,0.0262008733624454
number_of_posts,max,0.0829694323144105,0.122270742358079,0.624454148471616,0.218340611353712,1.0,0.161572052401747,0.126637554585153
number_of_comments,min,0.0,0.0,0.000271296798697775,0.0,0.0,0.0,0.0
number_of_comments,mean,0.00481717865983834,0.00108496513729999,0.118696078311138,0.0550111509075337,0.011760249131716,0.0116252126445549,0.00440628911861177
number_of_comments,median,0.0021703743895822,0.000271296798697775,0.0946825827455236,0.0474769397721107,0.00678241996744438,0.00461204557786218,0.00135648399348888
number_of_comments,q3,0.00596852957135106,0.000813890396093326,0.149755832881172,0.066467715680955,0.0168204015192621,0.0165491047205643,0.00596852957135106
number_of_comments,max,0.0515463917525773,0.0588714053174173,1.0,0.242539338035811,0.127238198589257,0.118014107433532,0.0770482908301682
frequency_of_posts_stddev,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frequency_of_posts_stddev,mean,0.0031124739458302,0.00598909232475558,0.0794044221546472,0.0226616647181209,0.105091383020684,0.0346981374745057,0.0350886819937928
frequency_of_posts_stddev,median,0.0,0.0,0.0631032283136845,0.0179692089848933,0.0910938953613514,0.0331414115789361,0.0334108580119789
frequency_of_posts_stddev,q3,0.0,0.0,0.101560460563932,0.0367841436778733,0.12663500192192,0.0444210737480671,0.0453764720972675
frequency_of_posts_stddev,max,0.0882557205830092,0.122639356994568,0.879222092807892,0.17423378544535,1.00000154048961,0.17423378544535,0.157034256455535
frequency_of_comments_q3,min,0.000195198126097989,0.0,0.0538746828030451,0.00409916064805778,0.0,0.0,0.0
frequency_of_comments_q3,mean,0.00458836334141931,0.00102506361525018,0.210247460427068,0.0568726071795071,0.0258542411459476,0.038238943638488,0.00696739995449623
frequency_of_comments_q3,median,0.00214717938707788,0.000195198126097989,0.176263907866484,0.0501659184071833,0.018934218231505,0.0251805582666406,0.0037087643958618
frequency_of_comments_q3,q3,0.00566074565684169,0.000780792504391958,0.227405816904158,0.0687097403864923,0.0382588327152059,0.0605114190903767,0.0101503025570955
frequency_of_comments_q3,max,0.0392348233456959,0.0439195783720476,1.0,0.184267031036502,0.178996681631856,0.296896349795042,0.074370486043334
frequency_of_comments_stddev,min,0.0,0.0,0.0098839538944877,0.00292780015106959,0.0,0.0,0.0
frequency_of_comments_stddev,mean,0.00742126274591216,0.00212184388483093,0.174400353923261,0.0595568579125937,0.0280215163076413,0.0393953752194018,0.0105123758591753
frequency_of_comments_stddev,median,0.00437554230376731,0.00112627325191129,0.152473400384457,0.0535166515832208,0.0209403822868219,0.0314563675930739,0.0069529577651952
frequency_of_comments_stddev,q3,0.009400833263724,0.00208545285696869,0.206829283303847,0.0738916008228332,0.0403024980473457,0.0574575574971899,0.0149341494247907
frequency_of_comments_stddev,max,0.0771773349604492,0.0786262586208078,1.00000017488032,0.261253083579981,0.219566039002429,0.354530630098762,0.0966848943140376
number_of_received_responses_to_post_max,min,0.0,0.0,0.0,0.0,0.0,0.00360576923076923,0.0
number_of_received_responses_to_post_max,mean,0.000294072110198607,0.000530721112293541,0.0628175514543489,0.00893506587775832,0.019447656692999,0.093790184167303,0.00980729467485693
number_of_received_responses_to_post_max,median,0.0,0.0,0.0534855769230769,0.00300480769230769,0.0132211538461538,0.078125,0.00540865384615385
number_of_received_responses_to_post_max,q3,0.0,0.0,0.0847355769230769,0.0138221153846154,0.0258413461538462,0.111778846153846,0.0120192307692308
number_of_received_responses_to_post_max,max,0.0258413461538462,0.0631009615384615,0.444711538461538,0.110576923076923,0.146634615384615,1.0,0.108173076923077
number_of_received_responses_to_post_q3,min,0.0,0.0,0.0,0.0,0.0,0.00235802711731185,0.0
number_of_received_responses_to_post_q3,mean,0.000342668205332012,0.000581598730008895,0.0307697090746232,0.00588850388301409,0.00767725975168012,0.0650547617090816,0.00779531016969068
number_of_received_responses_to_post_q3,median,0.0,0.0,0.0257417960306544,0.00255452937708784,0.00550206327372765,0.0540381214383965,0.0047160542346237
number_of_received_responses_to_post_q3,q3,0.0,0.0,0.0400864609943014,0.00962861072902338,0.00982511298879937,0.077814894871291,0.0094321084692474
number_of_received_responses_to_post_q3,max,0.0330123796423659,0.0532521123992926,0.231086657496561,0.0534486146590686,0.0558066417763804,1.0,0.0660247592847318
number_of_received_responses_under_comments_q3,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_received_responses_under_comments_q3,mean,0.0348761554951732,0.0142270384849474,0.0476023213194869,0.0408068006988448,0.0360799757649197,0.0659752138353,0.0336773336830716
number_of_received_responses_under_comments_q3,median,0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0333333333333333
number_of_received_responses_under_comments_q3,q3,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0583333333333333,0.0333333333333333,0.0666666666666667,0.0416666666666667
number_of_received_responses_under_comments_q3,max,0.666666666666667,0.766666666666667,0.133333333333333,0.266666666666667,0.266666666666667,1.0,0.466666666666667
number_of_received_responses_under_comments_max,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
