,,0,1,2,3,4,5
number_of_words_in_posts_q3,q3,0.0135410461344983,0.00832340481863913,0.00966995962404024,0.0,0.0152464753772836,0.0
number_of_words_in_posts_q3,max,1.0,0.143384299708764,0.0420803547789251,0.045373312152502,0.318614310299179,0.0491792427852793
number_of_words_in_comments_q3,min,0.0,0.0,0.0,0.0,0.0,0.0
number_of_words_in_comments_q3,mean,0.00966288687600174,0.0101259245896721,0.00674824097630305,0.0131070919951398,0.00966331014603891,0.00928747545993955
number_of_words_in_comments_q3,median,0.00718413870605234,0.0087493979772034,0.00626103708460427,0.00931128592069353,0.00774602664954246,0.00561887943490127
number_of_words_in_comments_q3,q3,0.0133247712313373,0.0124418044629957,0.00882966768341628,0.0153315138866592,0.0135254454968695,0.0125220741692085
number_of_words_in_comments_q3,max,0.485390913469257,0.485390913469257,0.0554262321399904,1.0,0.175469577781345,0.124578584042382
number_of_words_in_responses_to_posts_q3,min,0.0,0.0,0.0,0.0,0.000527101818501274,0.0
number_of_words_in_responses_to_posts_q3,mean,0.0140272757955413,0.00759598890312941,0.00892210207699302,0.000846997144212136,0.0143348097301745,0.001596509332418
number_of_words_in_responses_to_posts_q3,median,0.0110691381885268,0.00755512606518492,0.00931213212685584,0.0,0.0131775454625318,0.0
number_of_words_in_responses_to_posts_q3,q3,0.0155495036457876,0.0114205394008609,0.0116182025827989,0.0,0.0159887551612053,0.0
number_of_words_in_responses_to_posts_q3,max,1.0,0.149038039181235,0.030747606079241,0.0409382412369323,0.188351049811122,0.053940086093297
number_of_words_in_own_post_responses_q3,min,0.0,0.0,0.0,0.0,0.0,0.0
number_of_words_in_own_post_responses_q3,mean,0.00973763403973773,0.00541557488336334,0.00487740989917385,0.00040780971522771,0.00832856562985873,0.000179294119668288
number_of_words_in_own_post_responses_q3,median,0.00681849174962498,0.00436383471975999,0.00436383471975999,0.0,0.00654575207963998,0.0
number_of_words_in_own_post_responses_q3,q3,0.0119664530205918,0.00743215600709123,0.00668212191463248,0.0,0.0106027546706668,0.0
number_of_words_in_own_post_responses_q3,max,1.0,0.136097095322515,0.0262511932360562,0.0310582299195418,0.143733806082095,0.034672030546843
