,,0,1,2,3,4,5
number_of_posts,min,0.0,0.0,0.0,0.0,0.0,0.0
number_of_posts,mean,0.0285550204039119,0.038377583543039,0.122600807349447,0.00113006710887805,0.0323960232331369,0.00203246380798185
number_of_posts,median,0.0174672489082969,0.0218340611353712,0.091703056768559,0.0,0.0218340611353712,0.0
number_of_posts,q3,0.0349344978165939,0.0567685589519651,0.139737991266376,0.0,0.0436681222707424,0.0
number_of_posts,max,0.759825327510917,0.641921397379913,1.0,0.0786026200873362,0.336244541484716,0.122270742358079
number_of_comments,min,0.0,0.0,0.0,0.0,0.0,0.0
number_of_comments,mean,0.00437883728726805,0.0487511581844267,0.119247881297316,0.00514891277016453,0.0107926629580658,0.0011125784811825
number_of_comments,median,0.00135648399348888,0.0431361909929463,0.0957677699403147,0.0021703743895822,0.00379815518176886,0.000271296798697775
number_of_comments,q3,0.00596852957135106,0.0629408572978839,0.15124796527401,0.00623982637004883,0.0146500271296799,0.000813890396093326
number_of_comments,max,0.0558871405317417,0.242539338035811,1.0,0.064026044492675,0.118014107433532,0.066467715680955
frequency_of_posts_stddev,min,0.0,0.0,0.0,0.0,0.0,0.0
frequency_of_posts_stddev,mean,0.0431590752794535,0.0415419675282586,0.0946471354525602,0.00331679756072554,0.0349097729561766,0.00592640725633631
frequency_of_posts_stddev,median,0.0344084146466214,0.0333244124500481,0.0662061652711314,0.0,0.0290157229526472,0.0
frequency_of_posts_stddev,q3,0.0525597210431337,0.0595971234455084,0.11423807887962,0.0,0.0444210737480671,0.0
frequency_of_posts_stddev,max,1.00000154048961,0.59824225928039,0.896203399031337,0.0710737161023658,0.180021723498273,0.105445397956858
frequency_of_comments_q3,min,0.0,0.00800312317001757,0.0,0.000195198126097989,0.0,0.0
frequency_of_comments_q3,mean,0.00737060187399609,0.0583929818002561,0.207052987216338,0.00490067351622407,0.0370887099678018,0.00105077202830233
frequency_of_comments_q3,median,0.00409916064805778,0.0523130977942612,0.175092719109897,0.00214717938707788,0.0229357798165138,0.000195198126097989
frequency_of_comments_q3,q3,0.0109310950614874,0.0706617216474722,0.226039430021472,0.00605114190903767,0.0574370486043334,0.000780792504391958
frequency_of_comments_q3,max,0.0655865703689245,0.179387077884052,1.0,0.0480187390201054,0.329884833105602,0.0507515127854773
frequency_of_comments_stddev,min,0.0,0.00369402747149059,0.0,0.0,0.0,0.0
frequency_of_comments_stddev,mean,0.0108420299639652,0.0604626753124486,0.171277446948489,0.00777578406805131,0.0382501772888576,0.00214818449601075
