number_of_posts,number_of_comments,posts_activity_time,frequency_of_posts_avg,frequency_of_comments_q3,number_of_received_responses_to_post_max,number_of_received_responses_to_post_avg,number_of_received_responses_under_comments_q3,number_of_received_responses_under_comments_max,number_of_own_post_responses_q3,number_of_words_in_posts_q3,number_of_words_in_comments_median,number_of_words_in_responses_to_posts_q3,number_of_words_in_own_post_responses_q3
8.31957338072605e-08,0.15988986700308364,-5.162103383637984e-15,2.079893566049758e-08,0.050867936134922916,1.815521468581053e-07,9.64425657535694e-08,0.04062418814026823,0.04111427284226519,-9.762901750053066e-18,6.65565963847356e-07,0.9811347437217712,1.145977780804162e-06,2.3160591283363785e-16
2.3310346708438345e-16,0.8990921102360063,1.7997756063259374e-15,-3.9993507637559045e-17,0.2932575936654772,3.436704046344552e-15,-1.1497964039208775e-15,0.025570705968729623,0.03379419850841439,-3.9427266112319545e-18,-1.521872905474453e-14,0.2934591545119719,-1.216691677963233e-15,-7.76458162089072e-17
-1.7274593214211542e-15,0.5238604803837797,-1.7136899538305883e-15,-4.048139861517752e-17,0.1758418767405331,3.7905876354438206e-15,-1.7346150557595585e-15,0.05125039290826737,0.05520742457749294,-6.879813355836241e-18,1.9263236838984454e-14,0.823629616650612,-6.804452834519026e-15,5.748982019604387e-17
3.1000051743819944e-09,0.041372099943976504,1.3114869150754674e-06,7.749971251769586e-10,0.011948177045217175,1.5266937212392653e-07,9.550583783199396e-08,0.009361515623559438,0.009401538636000357,2.486031963177066e-08,4.773983673829474e-07,0.9983150434075957,1.5231524162274447e-06,2.4860319227951936e-08
0.0036885864096992205,0.00012815820040601444,0.35534769207475986,0.0009221466024249075,4.714587914719792e-05,0.0681194606878051,0.04401571537361361,3.0123421531406958e-05,3.012342152630687e-05,1.6901076845423298e-05,0.004816175939346235,0.0008510788562583471,0.6316571656561965,0.0004979899244046615
0.06307344120426168,0.00023620687152012265,0.0019316150125953616,0.015768493163014163,0.0001685459118504623,0.3160925555590727,0.038367426233383795,0.00013631960487176312,0.0001397666055900429,0.0001656919955686823,0.8293253940753496,0.0014027900504030022,0.10447432615724343,0.00305009195271552
-1.0582897405631009e-15,0.735659638252154,-5.144539308443719e-16,-4.030521576214863e-17,0.24271540674512337,3.6698075134289354e-15,-1.5350134358049772e-15,0.045063585169425296,0.05153268525016727,-5.8773498627607765e-18,3.64552138476526e-15,0.6168390810581608,-4.8971243726825264e-15,-3.0560948736935156e-18
-2.025831759289165e-16,0.3717023519039385,-1.1839487723541708e-16,-3.710681935331639e-17,0.09792859843159282,1.3446275343165226e-15,-2.4562600217659103e-16,0.3364377156768331,0.33705068225151713,7.214152914032785e-06,1.6878859421254333e-15,0.7518650935201396,-1.1381954406752826e-15,7.214152914036531e-06
-2.559638698912403e-15,0.3256609191887346,-3.2050100420843997e-15,-4.0684686522518554e-17,0.11064286240783937,3.9406412161158144e-15,-9.69493582636538e-16,0.048561424727435555,0.050443143578033894,-8.126645854194571e-18,3.8686068237758775e-14,0.9325973140674981,-9.176253507048315e-15,1.3278766107516216e-16
