posts_activity_time,frequency_of_posts_avg,frequency_of_comments_q3,number_of_received_responses_to_post_max,number_of_received_responses_to_post_avg,number_of_received_responses_under_comments_q3,number_of_received_responses_under_comments_max,number_of_own_post_responses_q3,number_of_words_in_posts_q3,number_of_words_in_comments_median,number_of_words_in_responses_to_posts_q3,number_of_words_in_own_post_responses_q3
0.002007361527446982,0.016672005918628153,0.00017066869017189068,0.3190410872376155,0.038706602601439946,0.00013820678539002568,0.00014166691745049614,0.00016747383174306755,0.8346284232958352,0.0014158155991144117,0.10514882543155148,0.0030867845203985953
4.834551527963275e-07,6.446746065731884e-09,0.027349126864416595,2.238290320209172e-07,1.648878420891075e-07,0.013583946702153234,0.013829205760422434,2.186934404879484e-08,5.260305082745512e-07,0.9986572455406229,1.3178239377355586e-06,2.0563375390907825e-07
-9.174518783572339e-16,-2.902951316829938e-17,0.8301679713601455,1.9379029631005906e-15,6.768674162827004e-16,0.04509334321415224,0.06667207194863517,2.217108739438131e-18,7.109764166290944e-15,0.519765742267354,-1.0774801190160943e-15,1.6435827308522444e-17
-1.7771157809209903e-15,2.848741208205663e-16,0.08364087569053955,8.563679279594005e-15,-1.7326092817404604e-15,0.12549192295760137,0.1271479169689652,-5.400258555219792e-18,9.835882108788496e-15,0.9751687534007873,1.1541115285673698e-14,-1.3042274508642815e-16
-1.879898146872616e-15,1.3457523940704763e-15,0.22403262809906277,9.35536370594292e-15,4.402402921377391e-16,0.05093141370534125,0.05593274161391512,-1.0699720189716322e-17,1.0161142760534148e-14,0.9680278686560252,1.428956779292445e-14,-3.1214858172215476e-17
-1.5846698953048133e-15,-3.030345072096985e-17,0.5026843928926086,7.0809243885028295e-15,5.815118352126003e-16,0.06641544713584968,0.08089449211294682,4.4755103350549094e-18,9.22525944524466e-15,0.8483473882245997,6.394407572885008e-15,2.3266300995181122e-17
0.008673262648512113,0.0018807450373301746,6.581730445862077e-05,0.10483101170634321,0.06754745814487251,4.898356822623934e-05,4.8983568226253216e-05,2.3488729142570543e-05,0.0096576025194798,0.0013626871727008272,0.9726508613449396,0.0006556083289985316
4.00829543167891e-16,-2.47198095326695e-17,0.169708422943641,-1.5027042110649091e-15,-1.3335686721571705e-16,0.47482193027371444,0.47715920106474585,1.2995074212438949e-05,1.3010426069826053e-17,0.6897054233333135,-9.211381657436846e-16,1.2995074212442876e-05
0.9993523390979351,-4.0657581468206416e-20,8.075319972794537e-06,0.00033970158570780363,0.0002990949869944729,-1.2351231148954867e-15,-1.2420620087993939e-15,1.376428539288238e-20,1.4051260155412137e-16,0.0003876153583279862,0.0015340436902536393,7.081195439045951e-19
