,,0,1,2,3,4,5,6
posts_activity_time,min,0.0,0.0,0.0,0.0344827586206897,0.0344827586206897,0.0,0.0
posts_activity_time,mean,0.00014794930604676,0.477853123647381,0.473393465970394,0.0344827586206897,0.498257520176082,0.380581274081427,1.66808342552274e-06
posts_activity_time,median,0.0,0.517241379310345,0.517241379310345,0.0344827586206897,0.517241379310345,0.344827586206897,0.0
posts_activity_time,q3,0.0,0.758620689655172,0.689655172413793,0.0344827586206897,0.689655172413793,0.620689655172414,0.0
posts_activity_time,max,0.96551724137931,0.96551724137931,0.96551724137931,0.0344827586206897,0.96551724137931,1.0,0.413793103448276
frequency_of_posts_avg,min,0.0,0.0,0.0,0.000613873542050338,0.000613873542050338,0.0,0.0
frequency_of_posts_avg,mean,3.26671399713334e-06,0.041690746434268,0.0221532286751933,0.000613873542050338,0.034833241905359,0.0183882974916075,3.31773498998999e-08
frequency_of_posts_avg,median,0.0,0.0214855739717618,0.0147329650092081,0.000613873542050338,0.0187231430325353,0.0098219766728054,0.0
frequency_of_posts_avg,q3,0.0,0.0650705954573358,0.0325352977286679,0.000613873542050338,0.0478821362799263,0.0257826887661142,0.0
frequency_of_posts_avg,max,0.0270104358502149,0.240638428483732,0.120319214241866,0.000613873542050338,1.0,0.834254143646409,0.00736648250460405
frequency_of_posts_stddev,min,0.0,0.0,0.0,0.0023673009455,0.00206047097316058,0.0,0.0
frequency_of_posts_stddev,mean,4.87304809000405e-06,0.0180679235472861,0.0116308384001677,0.0023673009455,0.0211698705753758,0.01162904810945,5.91887031229347e-08
frequency_of_posts_stddev,median,0.0,0.0122526713554231,0.00888078644431544,0.0023673009455,0.0118647375708742,0.00788947059437769,0.0
frequency_of_posts_stddev,q3,0.0,0.02448458997369,0.01549802095429,0.0023673009455,0.0233948096696383,0.0154994285891582,0.0
frequency_of_posts_stddev,max,0.02691187907956,0.202140846214333,0.0966520344802792,0.0023673009455,0.999998909400175,0.717124651974396,0.00922075961422033
frequency_of_comments_q3,min,0.0,0.0,0.00062111801242236,0.0,0.0,0.0,0.00062111801242236
frequency_of_comments_q3,mean,0.00122469582694755,9.25829673328309e-05,0.00351759575245454,0.0,9.49848024316109e-05,5.09494353280425e-05,0.00876876603178403
frequency_of_comments_q3,median,0.00062111801242236,0.0,0.00186335403726708,0.0,0.0,0.0,0.00372670807453416
frequency_of_comments_q3,q3,0.00124223602484472,0.0,0.00372670807453416,0.0,0.0,0.0,0.0093167701863354
frequency_of_comments_q3,max,0.0863354037267081,0.015527950310559,0.0900621118012422,0.0,0.0142857142857143,0.0198757763975155,1.0
number_of_received_responses_to_post_max,min,0.0,0.0,1.90023752969121e-05,0.0586223277909739,0.0011021377672209,0.0,0.0
number_of_received_responses_to_post_max,mean,6.35047301068109e-07,0.0124044067223884,0.00559992151709827,0.136957244655582,0.142144337191085,0.00567892906286533,6.17468220982101e-09
number_of_received_responses_to_post_max,median,0.0,0.00284085510688836,0.00144418052256532,0.1098432304038,0.117938242280285,0.00117814726840855,0.0
number_of_received_responses_to_post_max,q3,0.0,0.0143277909738717,0.00455106888361045,0.157548693586698,0.162161520190024,0.00402850356294537,0.0
number_of_received_responses_to_post_max,max,0.0186983372921615,0.103904988123515,0.160057007125891,0.27766270783848,1.0,0.105862232779097,0.00163420427553444
number_of_received_responses_to_post_stddev,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_received_responses_to_post_stddev,mean,9.84820734078759e-07,0.00868248113943356,0.00482962480085871,0.301733879829942,0.122001605560906,0.00478978668673015,1.16961075264656e-08
number_of_received_responses_to_post_stddev,median,0.0,0.00258668201576933,0.00168953374035751,0.159125144233514,0.094498475561514,0.00162980565033336,0.0
number_of_received_responses_to_post_stddev,q3,0.0,0.00928263124968586,0.003716446304469,0.525221235943535,0.137750792615322,0.00375249932377815,0.0
number_of_received_responses_to_post_stddev,max,0.0190098718076652,0.0758569410836928,0.120432741942315,0.837470625850121,0.999997925116162,0.0733375327754081,0.00369865163043596
number_of_received_responses_to_post_avg,min,0.0,0.0,0.000161603102779573,0.299558278276755,0.000410017808483891,0.0,0.0
number_of_received_responses_to_post_avg,mean,2.42853122063134e-06,0.00505471837025628,0.00366737078784119,0.636002477092287,0.0496650837581306,0.0036640490950841,2.21729355782412e-08
number_of_received_responses_to_post_avg,median,0.0,0.00340737199197682,0.00236248338153151,0.615142210730446,0.0356415648112084,0.00250484809308339,0.0
number_of_received_responses_to_post_avg,q3,0.0,0.0056756988370041,0.00367265789448714,0.786845507433743,0.058357297950355,0.00409841021184545,0.0
number_of_received_responses_to_post_avg,max,0.0124434389140271,0.0493697478991597,0.0446409337660846,1.0,0.321141268256101,0.0950226244343891,0.00347446670976083
number_of_received_responses_to_post_q3,min,0.0,0.0,0.00013684570646596,0.380362641122135,0.000273691412931919,0.0,0.0
number_of_received_responses_to_post_q3,mean,2.38205859926103e-06,0.00324099588174584,0.00303599650092893,0.663359562093739,0.00900129020752506,0.0029089876575034,2.14687986548634e-08
number_of_received_responses_to_post_q3,median,0.0,0.00335271980841601,0.0027027027027027,0.615018816284639,0.00465275401984263,0.00273691412931919,0.0
number_of_received_responses_to_post_q3,q3,0.0,0.00410537119397879,0.00328429695518303,0.88489565514882,0.00561067396510434,0.0037290455011974,0.0
number_of_received_responses_to_post_q3,max,0.0105371193978789,0.0379746835443038,0.0430379746835443,1.0,0.349982894286692,0.0810126582278481,0.00396852548751283
number_of_received_responses_under_comments_q3,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_received_responses_under_comments_q3,mean,0.00812610599337205,0.000390721142013291,0.00993153206213649,0.0,0.000324624530663329,0.00023339492366041,0.0140983516509826
number_of_received_responses_under_comments_q3,median,0.0,0.0,0.0117647058823529,0.0,0.0,0.0,0.0117647058823529
number_of_received_responses_under_comments_q3,q3,0.0117647058823529,0.0,0.0117647058823529,0.0,0.0,0.0,0.0205882352941176
number_of_received_responses_under_comments_q3,max,0.870588235294118,0.0470588235294118,0.0382352941176471,0.0,0.0235294117647059,0.0676470588235294,1.0
number_of_received_responses_under_comments_max,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_received_responses_under_comments_max,mean,0.00658325520431245,0.000309052871814378,0.00873819547161224,0.0,0.000290135396518375,0.000189633375474083,0.0162564313714691
number_of_received_responses_under_comments_max,median,0.0,0.0,0.00909090909090909,0.0,0.0,0.0,0.00909090909090909
number_of_received_responses_under_comments_max,q3,0.00909090909090909,0.0,0.00909090909090909,0.0,0.0,0.0,0.0181818181818182
number_of_received_responses_under_comments_max,max,0.8,0.0363636363636364,0.0454545454545455,0.0,0.0272727272727273,0.0636363636363636,1.0
number_of_own_post_responses_q3,min,0.0,0.0,0.0727272727272727,0.0,0.0,0.0,0.0
number_of_own_post_responses_q3,mean,3.69713905674799e-08,0.00202548497527577,0.132324496529753,0.0,0.00193423597678917,0.00161343081697064,4.12471537947442e-07
number_of_own_post_responses_q3,median,0.0,0.0,0.0727272727272727,0.0,0.0,0.0,0.0
number_of_own_post_responses_q3,q3,0.0,0.0,0.145454545454545,0.0,0.0,0.0,0.0
number_of_own_post_responses_q3,max,0.0727272727272727,0.145454545454545,1.0,0.0,0.181818181818182,0.0909090909090909,0.0727272727272727
number_of_words_in_posts_q3,min,0.0,0.0,0.0,0.105434546638686,0.00672986467906506,0.0,0.0
number_of_words_in_posts_q3,mean,1.92877634701051e-05,0.0387507963082785,0.0433007655473532,0.129884579202547,0.0572017567933758,0.0423512867209727,2.56054849583191e-07
number_of_words_in_posts_q3,median,0.0,0.0343367826904986,0.0366705260872712,0.132932918445618,0.0533685505463492,0.0355579274911354,0.0
number_of_words_in_posts_q3,q3,0.0,0.056172660829293,0.0592662276575729,0.146718286417252,0.0662131847456401,0.0552997684347637,0.0
number_of_words_in_posts_q3,max,0.0707721253346841,0.279832115203705,0.206056878211159,0.146826832621753,0.388703958318257,1.0,0.0582531297488964
number_of_words_in_comments_median,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_words_in_comments_median,mean,0.0349828989620633,0.000358755775671496,0.00407255100621809,0.0,0.000300533925153986,0.000292056053298603,0.0268653714473698
number_of_words_in_comments_median,median,0.0215419501133787,0.0,0.0,0.0,0.0,0.0,0.018140589569161
number_of_words_in_comments_median,q3,0.0453514739229025,0.0,0.0,0.0,0.0,0.0,0.0325018896447468
number_of_words_in_comments_median,max,1.0,0.0438397581254724,0.153817082388511,0.0,0.0634920634920635,0.139833711262283,0.855631141345427
number_of_words_in_responses_to_posts_q3,min,0.0,0.0,0.0532319391634981,0.11787072243346,0.0722433460076046,0.0,0.0
number_of_words_in_responses_to_posts_q3,mean,0.000399224244704754,0.19352409039566,0.201162812831629,0.145437262357414,0.163921557721867,0.219772454739984,2.24461872354562e-06
number_of_words_in_responses_to_posts_q3,median,0.0,0.186311787072243,0.186311787072243,0.142585551330798,0.163498098859316,0.194866920152091,0.0
number_of_words_in_responses_to_posts_q3,q3,0.0,0.224334600760456,0.229562737642586,0.159695817490494,0.178707224334601,0.249049429657795,0.0
number_of_words_in_responses_to_posts_q3,max,0.283269961977186,0.707224334600761,0.557984790874525,0.167300380228137,0.300380228136882,1.0,0.272813688212928
number_of_words_in_own_post_responses_q3,min,0.0,0.0,0.00423280423280423,0.0,0.0,0.0,0.0
number_of_words_in_own_post_responses_q3,mean,3.22766108128793e-08,0.000985698789046069,0.177017568256617,0.0,0.00132978723404255,0.000908161464419366,1.28504204632863e-07
number_of_words_in_own_post_responses_q3,median,0.0,0.0,0.131216931216931,0.0,0.0,0.0,0.0
number_of_words_in_own_post_responses_q3,q3,0.0,0.0,0.207407407407407,0.0,0.0,0.0,0.0
number_of_words_in_own_post_responses_q3,max,0.0634920634920635,0.0846560846560847,1.0,0.0,0.194708994708995,0.0814814814814815,0.0761904761904762
