Role;F-measure
1;0,983382981657702
5;0,903783633236646
2;0,734015194681861
4;0,742054860442733
0;0,742130176221679
6;0,802134589554491
3;0,723134589554491
Role;F-measure
1;0,984770333609043
5;0,904213526988944
4;0,735657342657343
0;0,762998426409687
6;0,816175478798589
2;0,736500802568218
3;0,720134589554491
Role;F-measure
1;0,985870563674322
2;0,735353426919901
5;0,915322444381864
0;0,76531172146898
4;0,73146017699115
6;0,830831971109273
3;0,717134589554491
Role;F-measure
1;0,985515458122541
2;0,725878231859883
5;0,912568438897495
0;0,763093574745152
4;0,731811320754717
6;0,827573830856772
3;0,716134589554491
