Role;F-measure
1;0,981382981657702
5;0,912783633236646
2;0,729015194681861
4;0,745054860442733
0;0,771130176221679
6;0,812134589554491
3;0,733134589554491
Role;F-measure
1;0,979770333609043
5;0,914213526988944
4;0,731657342657343
0;0,785998426409687
6;0,826175478798589
2;0,724500802568218
3;0,723134589554491
Role;F-measure
1;0,986870563674322
2;0,729353426919901
5;0,905322444381864
0;0,78731172146898
4;0,73146017699115
6;0,835831971109273
3;0,718134589554491
Role;F-measure
1;0,981515458122541
2;0,720878231859883
5;0,903568438897495
0;0,779093574745152
4;0,731811320754717
6;0,832573830856772
3;0,710134589554491
